"Date","Price","Open","High","Low","Vol.","Change %"
"11/19/2022","35.28","35.13","35.40","35.08","99.71K","3.43%"
"11/18/2022","34.11","34.10","34.39","33.42","63.05K","0.62%"
"11/17/2022","33.90","33.93","34.07","33.04","46.16K","1.22%"
"11/16/2022","33.49","34.31","34.56","32.91","51.00K","-2.36%"
"11/15/2022","34.30","34.45","35.20","33.81","76.78K","-0.35%"
"11/14/2022","34.42","33.40","34.64","31.56","118.91K","2.96%"
"11/13/2022","33.43","33.84","34.74","32.77","88.94K","-0.95%"
"11/12/2022","33.75","35.81","35.85","33.35","82.27K","-5.91%"
"11/11/2022","35.87","36.78","37.60","34.50","122.51K","-2.79%"
"11/10/2022","36.90","31.91","37.22","31.68","182.56K","14.56%"
"11/09/2022","32.21","38.36","38.52","30.91","238.55K","-16.10%"
"11/08/2022","38.39","45.72","47.19","34.81","307.33K","-16.07%"
"11/07/2022","45.74","43.60","47.39","43.39","223.46K","4.67%"
"11/06/2022","43.70","45.47","46.02","43.51","88.88K","-3.91%"
"11/05/2022","45.48","44.64","46.10","44.59","108.08K","2.04%"
"11/04/2022","44.57","41.81","45.11","41.65","114.90K","6.58%"
"11/03/2022","41.82","40.85","42.72","40.74","83.87K","2.40%"
"11/02/2022","40.84","41.09","41.99","39.90","120.36K","-0.61%"
"11/01/2022","41.09","41.89","42.39","41.09","46.88K","-1.84%"
"10/31/2022","41.86","41.96","42.70","41.27","59.42K","-0.19%"
"10/30/2022","41.94","42.94","43.63","41.42","66.58K","-2.33%"
"10/29/2022","42.94","42.45","44.00","42.43","79.18K","1.18%"
"10/28/2022","42.44","41.27","42.62","41.12","53.97K","2.76%"
"10/27/2022","41.30","41.97","43.44","41.18","84.43K","-1.71%"
"10/26/2022","42.02","41.40","42.72","41.11","61.81K","1.62%"
"10/25/2022","41.35","40.11","41.97","39.70","68.82K","3.09%"
"10/24/2022","40.11","41.73","41.91","39.75","60.49K","-3.86%"
"10/23/2022","41.72","40.87","41.94","40.04","37.06K","2.10%"
"10/22/2022","40.86","40.67","41.19","40.09","22.56K","0.67%"
