,Date,returns_BNB_USD,returns_BTC_USD,returns_Dogecoin,returns_Ethereum,returns_Litecoin,returns_NEO_USD,returns_NXT_USD,returns_PPC_USD,returns_Stellar,returns_Tether,returns_TRX_USD,returns_XEM_USD,returns_XRP
0,2022-11-19,-0.0066,-0.0015,-0.0024,0.0004,0.008,0.0202,-0.0529,-0.0286,0.0096,0.0001,0.0323,0.0373,-0.0014000000000000002
1,2022-11-18,0.0168,-0.0043,-0.0059,0.0018,0.0014000000000000002,0.0023,0.1429,0.0,-0.0172,-0.0003,0.006999999999999999,-0.0006,-0.0019
2,2022-11-17,-0.0063,0.0105,-0.0011,-0.0008,0.0935,0.0002,0.0819,-0.054000000000000006,0.0175,0.0001,0.002,0.0118,0.0236
3,2022-11-16,-0.0245,-0.021,-0.024700000000000003,-0.0377,-0.0195,-0.0271,0.0,-0.0263,-0.0371,0.0002,-0.0148,-0.0352,-0.039900000000000005
4,2022-11-15,-0.0072,0.015600000000000001,0.0134,0.0087,0.0253,0.008,0.0,0.2662,0.0146,-0.0001,0.012,0.044199999999999996,0.0326
5,2022-11-14,0.0083,0.0173,0.0104,0.0173,-0.0129,0.0116,-0.0415,-0.30210000000000004,0.0342,0.0002,-0.013999999999999999,-0.0067,0.1056
6,2022-11-13,-0.0212,-0.0278,-0.0349,-0.0277,-0.0416,0.0155,0.0096,0.0,-0.0315,0.0003,-0.0751,-0.0158,-0.0622
7,2022-11-12,-0.0258,-0.0137,0.0349,-0.025099999999999997,-0.026000000000000002,-0.0368,0.0,0.0,-0.0452,0.0002,-0.0182,-0.0634,-0.054299999999999994
8,2022-11-11,-0.0454,-0.0304,-0.0516,-0.008100000000000001,0.016,-0.049400000000000006,-0.0779,-0.0227,-0.0183,0.0002,-0.0315,-0.0058,-0.0264
9,2022-11-10,0.139,0.1051,0.2087,0.1801,0.1948,0.1585,0.0076,-0.0222,0.1642,-0.0009,0.081,0.17550000000000002,0.1886
10,2022-11-09,-0.185,-0.14279999999999998,-0.1595,-0.17559999999999998,-0.1245,-0.16690000000000002,-0.0789,0.0,-0.1552,-0.0011,-0.0891,-0.15789999999999998,-0.1822
11,2022-11-08,-0.0279,-0.09960000000000001,-0.2059,-0.1482,-0.142,-0.1401,-0.1444,-0.0816,-0.0993,0.0001,-0.057,-0.1186,-0.12689999999999999
12,2022-11-07,-0.0040999999999999995,-0.0154,-0.030899999999999997,-0.0021,-0.0127,0.0098,0.0741,0.0652,0.0046,-0.0002,-0.0072,-0.0049,-0.0127
13,2022-11-06,-0.030899999999999997,-0.0179,-0.078,-0.0345,-0.0163,-0.0526,-0.08109999999999999,0.1193,-0.038900000000000004,0.0,-0.0143,-0.024900000000000002,-0.0447
14,2022-11-05,-0.0152,0.0068000000000000005,-0.013000000000000001,-0.0109,0.0269,0.006,-0.0513,-0.0121,-0.0179,0.0001,-0.0031,-0.0172,-0.0256
15,2022-11-04,0.0755,0.0467,0.030699999999999998,0.07440000000000001,0.09210000000000002,0.0742,-0.048799999999999996,-0.0096,0.06269999999999999,0.0002,0.034,0.056600000000000004,0.11230000000000001
16,2022-11-03,0.0294,0.0027,-0.0424,0.0079,0.0166,0.0177,0.0789,-0.0233,0.0108,-0.0001,0.0026,0.0313,0.011000000000000001
17,2022-11-02,-0.011399999999999999,-0.016200000000000003,-0.1018,-0.0384,0.1041,-0.026600000000000002,0.2148,-0.0851,-0.021099999999999997,0.0002,-0.0194,-0.033,-0.029500000000000002
18,2022-11-01,-0.0058,-0.0004,0.1213,0.0043,0.0015,-0.0101,-0.018500000000000003,0.0,-0.0125,-0.0001,-0.0076,-0.0006,-0.0016
19,2022-10-31,0.0392,-0.0067,0.0786,-0.0111,-0.005600000000000001,-0.0078000000000000005,-0.0395,0.0,0.0011,-0.0002,0.0027,-0.004699999999999999,0.0138
20,2022-10-30,0.029900000000000003,-0.0089,-0.035,-0.018000000000000002,-0.022400000000000003,-0.0259,-0.1032,0.0,-0.0208,-0.0001,-0.0187,-0.0171,-0.025699999999999997
21,2022-10-29,0.0222,0.0108,0.4551,0.042,0.031,0.0223,-0.0263,0.0444,0.0075,0.0001,0.0116,-0.0003,-0.0092
22,2022-10-28,0.0387,0.0152,0.08990000000000001,0.026600000000000002,0.0034999999999999996,0.0219,0.027000000000000003,-0.0013,0.0158,0.0001,0.009399999999999999,0.0182,0.027999999999999997
23,2022-10-27,-0.0124,-0.0233,0.0555,-0.0332,-0.0296,-0.0168,-0.0513,0.0,-0.023,-0.0001,-0.0070999999999999995,-0.0007000000000000001,-0.0158
24,2022-10-26,0.0218,0.034,0.1566,0.073,0.009300000000000001,0.0098,-0.1333,0.0013,0.016,0.0,0.017,0.0203,0.0183
25,2022-10-25,0.0365,0.0395,0.058899999999999994,0.0861,0.0636,0.0333,0.25,0.0040999999999999995,0.013500000000000002,0.0003,0.017,0.022799999999999997,0.0163
26,2022-10-24,-0.0069,-0.0125,-0.015300000000000001,-0.0147,-0.0276,-0.0365,-0.1818,0.0,-0.0148,-0.0001,-0.0092,-0.0123,-0.0334
27,2022-10-23,0.0203,0.019,0.011399999999999999,0.0383,0.0355,0.0634,0.3749,-0.025699999999999997,0.0063,0.0,0.004699999999999999,0.0184,0.0073
28,2022-10-22,0.0019,0.0023,0.0063,0.010700000000000001,0.011200000000000002,0.0223,0.1429,0.0,0.0031,-0.0001,-0.0015,0.0053,0.0092
29,2022-10-21,0.0037,0.0062,-0.002,0.0132,0.0074,0.013000000000000001,0.0,-0.0213,0.0079,0.0002,-0.0079,0.0104,0.0326
30,2022-10-20,-0.011399999999999999,-0.0039000000000000003,0.0127,-0.0019,0.0051,0.0079,0.037000000000000005,-0.0408,-0.0075,0.0,0.006999999999999999,-0.005,-0.0089
31,2022-10-19,-0.004,-0.0104,-0.0178,-0.0194,-0.0177,-0.0269,0.0,0.0009,-0.0137,-0.0001,-0.0070999999999999995,-0.043899999999999995,-0.0326
32,2022-10-18,-0.0091,-0.0113,-0.0031,-0.015300000000000001,0.0012,-0.0168,0.0,0.0,-0.015700000000000002,0.0,-0.0075,-0.009300000000000001,-0.0292
33,2022-10-17,0.011699999999999999,0.0148,0.0179,0.019299999999999998,0.008,0.0204,-0.035699999999999996,0.011200000000000002,0.0063,0.0,0.0128,0.0104,0.0067
34,2022-10-16,0.016,0.0103,0.0055000000000000005,0.0246,0.0202,0.020499999999999997,0.0,0.0301,0.013500000000000002,0.0001,0.0019,0.010700000000000001,-0.0108
35,2022-10-15,-0.0048,-0.006,-0.0016,-0.0171,-0.0179,-0.0028000000000000004,0.0,-0.0408,-0.0046,0.0,-0.0352,0.0085,-0.013600000000000001
36,2022-10-14,-0.008100000000000001,-0.0103,-0.0166,0.0073,0.0037,-0.0176,-0.0291,0.0208,0.0033,0.0,0.0492,-0.0101,0.0195
37,2022-10-13,0.0033,0.012,-0.0027,-0.005600000000000001,-0.0213,-0.0167,0.1033,0.0191,-0.0366,0.0,-0.0118,-0.028999999999999998,-0.018600000000000002
38,2022-10-12,-0.0018,0.005,-0.0073,0.011399999999999999,0.004,-0.0022,-0.0828,-0.0765,0.0026,0.0001,0.001,0.0,0.0043
39,2022-10-11,-0.0007000000000000001,-0.0034000000000000002,0.0147,-0.0078000000000000005,-0.011000000000000001,-0.0169,0.0179,0.05,-0.060899999999999996,0.0,-0.0172,-0.014199999999999999,-0.0155
40,2022-10-10,-0.0241,-0.0163,-0.044199999999999996,-0.0252,-0.024700000000000003,-0.0424,0.0,-0.0659,-0.0407,-0.0002,0.0060999999999999995,-0.032,-0.073
