"Date","Price","Open","High","Low","Vol.","Change %"
"11/19/2022","0.9020","0.9000","0.9060","0.8970","4.12M","0.56%"
"11/18/2022","0.8970","0.9130","0.9190","0.8880","4.29M","-0.55%"
"11/17/2022","0.9020","0.9020","0.9080","0.8830","5.38M","0.45%"
"11/16/2022","0.8980","0.9260","0.9440","0.8950","7.48M","-3.02%"
"11/15/2022","0.9260","0.9160","0.9500","0.9070","10.14M","1.20%"
"11/14/2022","0.9150","0.8830","0.9220","0.8310","13.80M","3.62%"
"11/13/2022","0.8830","0.8930","0.9130","0.8660","9.12M","-1.12%"
"11/12/2022","0.8930","0.9360","0.9370","0.8810","9.27M","-4.49%"
"11/11/2022","0.9350","0.9370","0.9480","0.8770","12.93M","-0.21%"
"11/10/2022","0.9370","0.8200","0.9590","0.8090","26.96M","14.13%"
"11/09/2022","0.8210","0.9630","0.9700","0.7970","30.59M","-14.83%"
"11/08/2022","0.9640","1.1340","1.1530","0.8490","45.56M","-14.99%"
"11/07/2022","1.1340","1.1120","1.1430","1.1040","8.02M","1.80%"
"11/06/2022","1.1140","1.1680","1.1730","1.1090","9.37M","-4.54%"
"11/05/2022","1.1670","1.1980","1.2170","1.1550","14.56M","-2.51%"
"11/04/2022","1.1970","1.1490","1.1990","1.1380","14.06M","4.18%"
"11/03/2022","1.1490","1.1170","1.1650","1.1150","10.41M","2.68%"
"11/02/2022","1.1190","1.1420","1.1780","1.1000","13.31M","-2.01%"
"11/01/2022","1.1420","1.1500","1.1790","1.1390","9.37M","-0.70%"
"10/31/2022","1.1500","1.1100","1.1550","1.1020","11.91M","3.60%"
"10/30/2022","1.1100","1.1370","1.1550","1.0880","9.81M","-2.37%"
"10/29/2022","1.1370","1.1360","1.1640","1.1260","11.97M","0.00%"
"10/28/2022","1.1370","1.1250","1.1630","1.1220","18.03M","1.07%"
"10/27/2022","1.1250","1.1270","1.1530","1.1140","10.72M","-0.27%"
"10/26/2022","1.1280","1.0990","1.1350","1.0990","12.08M","2.64%"
"10/25/2022","1.0990","1.0670","1.1280","1.0530","9.76M","3.00%"
"10/24/2022","1.0670","1.0950","1.0970","1.0590","7.27M","-2.56%"
"10/23/2022","1.0950","1.0670","1.0990","1.0650","10.41M","2.62%"
"10/22/2022","1.0670","1.0700","1.0790","1.0470","6.98M","-0.28%"
"10/21/2022","1.0700","1.0430","1.0800","1.0070","13.80M","2.59%"
"10/20/2022","1.0430","1.0050","1.0910","1.0000","15.33M","4.09%"
"10/19/2022","1.0020","1.0500","1.0550","0.9980","7.61M","-4.57%"
"10/18/2022","1.0500","1.0640","1.0790","1.0260","6.97M","-1.32%"
"10/17/2022","1.0640","1.0500","1.0680","1.0390","4.05M","1.24%"
"10/16/2022","1.0510","1.0510","1.0750","1.0370","5.61M","0.00%"
"10/15/2022","1.0510","1.0080","1.0730","1.0050","9.98M","4.27%"
"10/14/2022","1.0080","1.0150","1.0470","0.9940","8.97M","-0.69%"
"10/13/2022","1.0150","1.0390","1.0430","0.9450","20.32M","-2.31%"
"10/12/2022","1.0390","1.0430","1.0550","1.0270","4.59M","-0.38%"
"10/11/2022","1.0430","1.0340","1.0620","1.0120","8.36M","0.87%"
"10/10/2022","1.0340","1.1210","1.1320","1.0310","17.88M","-7.68%"
"10/09/2022","1.1200","1.1120","1.1350","1.1090","3.79M","0.81%"
"10/08/2022","1.1110","1.1200","1.1320","1.0990","4.87M","-0.89%"
"10/07/2022","1.1210","1.1550","1.1660","1.1050","10.47M","-2.94%"
"10/06/2022","1.1550","1.1750","1.1910","1.1530","7.53M","-1.70%"
"10/05/2022","1.1750","1.2010","1.2030","1.1570","7.59M","-2.08%"
"10/04/2022","1.2000","1.1880","1.2080","1.1740","7.69M","1.18%"
"10/03/2022","1.1860","1.1610","1.1930","1.1530","7.43M","2.33%"
"10/02/2022","1.1590","1.2230","1.2250","1.1530","8.12M","-5.31%"
"10/01/2022","1.2240","1.1830","1.2300","1.1810","10.10M","3.47%"
"09/30/2022","1.1830","1.2050","1.2260","1.1680","16.99M","-1.83%"
"09/29/2022","1.2050","1.1490","1.2290","1.1450","21.79M","5.06%"
"09/28/2022","1.1470","1.1550","1.1660","1.1040","9.98M","-0.61%"
"09/27/2022","1.1540","1.1820","1.2270","1.1390","15.11M","-2.37%"
"09/26/2022","1.1820","1.1650","1.1910","1.1370","13.82M","1.37%"
"09/25/2022","1.1660","1.1980","1.2170","1.1450","9.75M","-2.75%"
"09/24/2022","1.1990","1.2290","1.2450","1.1900","16.76M","-2.44%"
"09/23/2022","1.2290","1.2380","1.2580","1.1710","18.43M","-0.73%"
"09/22/2022","1.2380","1.1810","1.2510","1.1700","16.64M","4.74%"
"09/21/2022","1.1820","1.3390","1.3620","1.1620","32.02M","-11.66%"
"09/20/2022","1.3380","1.2980","1.3790","1.2450","24.59M","3.16%"
"09/19/2022","1.2970","1.2740","1.3130","1.2140","22.81M","1.89%"
"09/18/2022","1.2730","1.4710","1.4720","1.2460","20.49M","-13.46%"
"09/17/2022","1.4710","1.4240","1.4890","1.4180","9.43M","3.37%"
"09/16/2022","1.4230","1.3810","1.4540","1.3810","18.10M","3.04%"
"09/15/2022","1.3810","1.4730","1.4810","1.3660","21.48M","-6.31%"
