"Date","Price","Open","High","Low","Vol.","Change %"
"11/19/2022","6.7630","6.7430","6.7910","6.7120","35.55K","2.02%"
"11/18/2022","6.6290","6.6990","6.7300","6.5620","43.64K","0.23%"
"11/17/2022","6.6140","6.6890","6.7320","6.5200","62.08K","0.02%"
"11/16/2022","6.6130","6.7970","6.8660","6.5380","75.45K","-2.71%"
"11/15/2022","6.7970","6.7360","6.9850","6.6410","120.66K","0.80%"
"11/14/2022","6.7430","6.6690","6.8150","6.1910","243.91K","1.16%"
"11/13/2022","6.6660","6.5680","7.5550","6.2880","301.29K","1.55%"
"11/12/2022","6.5640","6.8190","6.8240","6.4470","82.68K","-3.68%"
"11/11/2022","6.8150","7.1680","7.2340","6.5390","197.50K","-4.94%"
"11/10/2022","7.1690","6.1880","7.2930","6.1030","227.50K","15.85%"
"11/09/2022","6.1880","7.4230","7.4870","5.9970","474.39K","-16.69%"
"11/08/2022","7.4280","8.6380","8.7210","6.6570","544.04K","-14.01%"
"11/07/2022","8.6380","8.5540","8.8300","8.3780","150.80K","0.98%"
"11/06/2022","8.5540","9.0400","9.1150","8.5390","159.29K","-5.26%"
"11/05/2022","9.0290","8.9750","9.1880","8.8930","176.14K","0.60%"
"11/04/2022","8.9750","8.3520","9.0310","8.3080","248.75K","7.42%"
"11/03/2022","8.3550","8.2090","8.5420","8.1800","147.44K","1.77%"
"11/02/2022","8.2100","8.4340","8.5810","8.0710","212.37K","-2.66%"
"11/01/2022","8.4340","8.5200","8.6180","8.3720","113.78K","-1.01%"
"10/31/2022","8.5200","8.5870","8.8310","8.4060","254.19K","-0.78%"
"10/30/2022","8.5870","8.8150","8.9220","8.4730","149.39K","-2.59%"
"10/29/2022","8.8150","8.6230","8.9640","8.5960","250.23K","2.23%"
"10/28/2022","8.6230","8.4370","8.7160","8.3440","171.14K","2.19%"
"10/27/2022","8.4380","8.5820","8.9190","8.3820","256.45K","-1.68%"
"10/26/2022","8.5820","8.4990","8.6580","8.4330","246.48K","0.98%"
"10/25/2022","8.4990","8.2220","8.6660","8.1960","217.22K","3.33%"
"10/24/2022","8.2250","8.5400","8.5830","8.1420","255.74K","-3.65%"
"10/23/2022","8.5370","8.0280","8.6970","7.8800","720.59K","6.34%"
"10/22/2022","8.0280","7.8530","8.0420","7.7850","57.95K","2.23%"
"10/21/2022","7.8530","7.7520","7.8720","7.5310","99.01K","1.30%"
"10/20/2022","7.7520","7.6910","7.9710","7.6230","121.22K","0.79%"
"10/19/2022","7.6910","7.9040","7.9330","7.6030","105.11K","-2.69%"
"10/18/2022","7.9040","8.0390","8.1210","7.7660","106.37K","-1.68%"
"10/17/2022","8.0390","7.8780","8.0600","7.8040","79.81K","2.04%"
"10/16/2022","7.8780","7.7200","7.9390","7.7150","83.27K","2.05%"
"10/15/2022","7.7200","7.7390","7.8570","7.6630","69.69K","-0.28%"
"10/14/2022","7.7420","7.8810","8.1430","7.6780","105.90K","-1.76%"
"10/13/2022","7.8810","8.0150","8.0340","7.3190","317.21K","-1.67%"
"10/12/2022","8.0150","8.0330","8.1190","7.9690","67.90K","-0.22%"
"10/11/2022","8.0330","8.1710","8.1760","7.9230","129.67K","-1.69%"
"10/10/2022","8.1710","8.5330","8.6330","8.1560","83.48K","-4.24%"
"10/09/2022","8.5330","8.4980","8.5770","8.4470","51.60K","0.41%"
"10/08/2022","8.4980","8.4930","8.6600","8.4150","95.03K","0.05%"
"10/07/2022","8.4940","8.5660","8.5910","8.3850","122.72K","-0.84%"
"10/06/2022","8.5660","8.7400","8.8910","8.5350","120.81K","-1.99%"
"10/05/2022","8.7400","8.9090","8.9250","8.5860","114.88K","-1.90%"
