"Date","Price","Open","High","Low","Vol.","Change %"
"11/19/2022","0.003031","0.003031","0.003031","0.003031","","-5.29%"
"11/18/2022","0.003200","0.003320","0.003500","0.002900","8.45K","14.29%"
"11/17/2022","0.002800","0.002588","0.002800","0.002588","0.60K","8.19%"
"11/16/2022","0.002588","0.002588","0.002588","0.002588","","0.00%"
"11/15/2022","0.002588","0.002588","0.002588","0.002588","","0.00%"
"11/14/2022","0.002588","0.002700","0.002700","0.002588","0.31K","-4.15%"
"11/13/2022","0.002700","0.002674","0.002700","0.002656","2.08K","0.96%"
"11/12/2022","0.002674","0.002674","0.002674","0.002674","","0.00%"
"11/11/2022","0.002674","0.002900","0.002900","0.002674","12.86K","-7.79%"
"11/10/2022","0.002900","0.002878","0.003000","0.002878","0.22K","0.76%"
"11/09/2022","0.002878","0.003125","0.003125","0.002878","1.26K","-7.89%"
"11/08/2022","0.003125","0.003652","0.003652","0.003125","32.87K","-14.44%"
"11/07/2022","0.003652","0.003400","0.003700","0.003400","21.72K","7.41%"
"11/06/2022","0.003400","0.003700","0.003700","0.003400","0.43K","-8.11%"
"11/05/2022","0.003700","0.003900","0.003900","0.003277","55.07K","-5.13%"
"11/04/2022","0.003900","0.004100","0.004100","0.003900","0.00K","-4.88%"
"11/03/2022","0.004100","0.003800","0.004100","0.003800","19.27K","7.89%"
"11/02/2022","0.003800","0.003128","0.004307","0.003128","19.16K","21.48%"
"11/01/2022","0.003128","0.003187","0.003600","0.003000","19.31K","-1.85%"
"10/31/2022","0.003187","0.003318","0.003800","0.003187","21.92K","-3.95%"
"10/30/2022","0.003318","0.003700","0.003700","0.003060","47.08K","-10.32%"
"10/29/2022","0.003700","0.003800","0.003800","0.003500","8.34K","-2.63%"
"10/28/2022","0.003800","0.003700","0.003800","0.003600","16.18K","2.70%"
"10/27/2022","0.003700","0.003900","0.004000","0.003700","11.71K","-5.13%"
"10/26/2022","0.003900","0.004500","0.004500","0.003900","38.45K","-13.33%"
"10/25/2022","0.004500","0.003600","0.004649","0.003500","63.02K","25.00%"
"10/24/2022","0.003600","0.004400","0.004400","0.003600","34.25K","-18.18%"
"10/23/2022","0.004400","0.003200","0.004649","0.002904","685.81K","37.49%"
"10/22/2022","0.003200","0.002800","0.003200","0.002800","129.30K","14.29%"
"10/21/2022","0.002800","0.002800","0.002800","0.002800","","0.00%"
"10/20/2022","0.002800","0.002700","0.003000","0.002700","0.13K","3.70%"
"10/19/2022","0.002700","0.002700","0.002700","0.002700","","0.00%"
"10/18/2022","0.002700","0.002700","0.002700","0.002700","","0.00%"
"10/17/2022","0.002700","0.002800","0.002800","0.002700","0.05K","-3.57%"
"10/16/2022","0.002800","0.002800","0.002800","0.002800","","0.00%"
"10/15/2022","0.002800","0.002800","0.002800","0.002800","","0.00%"
"10/14/2022","0.002800","0.002884","0.002884","0.002700","0.10K","-2.91%"
"10/13/2022","0.002884","0.002614","0.003062","0.002600","73.58K","10.33%"
"10/12/2022","0.002614","0.002850","0.002900","0.002069","1.27M","-8.28%"
"10/11/2022","0.002850","0.002800","0.002850","0.002800","0.40K","1.79%"
"10/10/2022","0.002800","0.002800","0.002800","0.002800","","0.00%"
"10/09/2022","0.002800","0.002800","0.002800","0.002800","","0.00%"
"10/08/2022","0.002800","0.002900","0.002900","0.002800","0.01K","-3.45%"
"10/07/2022","0.002900","0.002837","0.002900","0.002837","0.24K","2.21%"
"10/06/2022","0.002837","0.002900","0.003060","0.002837","0.15K","-2.16%"
"10/05/2022","0.002900","0.003000","0.003000","0.002736","1.68K","-3.33%"
"10/04/2022","0.003000","0.002900","0.003000","0.002900","0.05K","3.45%"
"10/03/2022","0.002900","0.002800","0.002900","0.002800","1.58K","3.57%"
"10/02/2022","0.002800","0.003000","0.003000","0.002000","1.46K","-6.67%"
"10/01/2022","0.003000","0.003000","0.003000","0.003000","","0.00%"
"09/30/2022","0.003000","0.003100","0.003100","0.003000","4.84K","-3.23%"
"09/29/2022","0.003100","0.003100","0.003100","0.003100","","0.00%"
"09/28/2022","0.003100","0.002900","0.003100","0.002800","8.09K","6.90%"
"09/27/2022","0.002900","0.002600","0.003000","0.002600","8.19K","11.53%"
"09/26/2022","0.002600","0.002800","0.002800","0.002600","1.99K","-7.13%"
"09/25/2022","0.002800","0.002800","0.002800","0.002800","","0.00%"
"09/24/2022","0.002800","0.002800","0.002800","0.002700","2.68K","0.00%"
"09/23/2022","0.002800","0.002800","0.003200","0.002800","2.33K","0.00%"
"09/22/2022","0.002800","0.002600","0.002900","0.002600","0.19K","7.69%"
"09/21/2022","0.002600","0.002900","0.002900","0.002600","0.45K","-10.34%"
"09/20/2022","0.002900","0.002900","0.002900","0.002900","","0.00%"
"09/19/2022","0.002900","0.002774","0.002900","0.002600","3.05K","4.55%"
"09/18/2022","0.002774","0.002900","0.003100","0.002774","2.43K","-4.36%"
"09/17/2022","0.002900","0.002900","0.002900","0.002900","","0.00%"
"09/16/2022","0.002900","0.002904","0.003100","0.002900","2.86K","-0.14%"
"09/15/2022","0.002904","0.002807","0.003021","0.002807","24.57K","3.47%"
"09/14/2022","0.002807","0.003200","0.003200","0.002800","51.03K","-12.29%"
"09/13/2022","0.003200","0.002874","0.003537","0.002874","137.30K","11.36%"
"09/12/2022","0.002874","0.003200","0.003572","0.002874","141.12K","-10.20%"
"09/11/2022","0.003200","0.003200","0.003200","0.003200","","0.00%"
"09/10/2022","0.003200","0.002454","0.003482","0.002454","7.35K","30.38%"
"09/09/2022","0.002454","0.002454","0.002454","0.002454","","0.00%"
"09/08/2022","0.002454","0.002700","0.002700","0.002454","24.02K","-9.10%"
"09/07/2022","0.002700","0.002800","0.002800","0.002700","0.00K","-3.57%"
"09/06/2022","0.002800","0.002800","0.002800","0.002800","","0.00%"
"09/05/2022","0.002800","0.003000","0.003000","0.002800","0.00K","-6.67%"
"09/04/2022","0.003000","0.003000","0.003000","0.003000","","0.00%"
"09/03/2022","0.003000","0.003090","0.003090","0.003000","0.00K","-2.91%"
"09/02/2022","0.003090","0.002220","0.003090","0.002220","0.00K","39.19%"
"09/01/2022","0.002220","0.002220","0.002220","0.002220","","0.00%"
"08/31/2022","0.002220","0.003090","0.003090","0.002220","3.49K","-28.16%"
"08/30/2022","0.003090","0.003090","0.003090","0.003090","","0.00%"
"08/29/2022","0.003090","0.003090","0.003090","0.003090","","0.00%"
"08/28/2022","0.003090","0.003090","0.003090","0.003090","","0.00%"
"08/27/2022","0.003090","0.003090","0.003090","0.003090","","0.00%"
"08/26/2022","0.003090","0.002916","0.003090","0.002916","0.00K","5.97%"
"08/25/2022","0.002916","0.002916","0.002916","0.002916","","0.00%"
"08/24/2022","0.002916","0.002916","0.002916","0.002916","","0.00%"
"08/23/2022","0.002916","0.003000","0.003000","0.002835","1.00K","-2.80%"
"08/22/2022","0.003000","0.003000","0.003000","0.003000","","0.00%"
"08/21/2022","0.003000","0.003086","0.003086","0.003000","1.28K","-2.77%"
"08/20/2022","0.003086","0.003086","0.003086","0.003086","","0.00%"
"08/19/2022","0.003086","0.003930","0.003930","0.003086","0.00K","-21.49%"
"08/18/2022","0.003930","0.003930","0.003930","0.003930","","0.00%"
"08/17/2022","0.003930","0.003930","0.003930","0.003930","","0.00%"
"08/16/2022","0.003930","0.003930","0.003930","0.003930","","0.00%"
"08/15/2022","0.003930","0.003467","0.003939","0.003248","9.63K","13.34%"
"08/14/2022","0.003467","0.003817","0.003939","0.003467","17.66K","-9.17%"
"08/13/2022","0.003817","0.003576","0.003817","0.003182","0.73K","6.76%"
"08/12/2022","0.003576","0.002827","0.003576","0.002827","8.76K","26.49%"
"08/11/2022","0.002827","0.002997","0.002997","0.002827","0.94K","-5.69%"
"08/10/2022","0.002997","0.003150","0.003150","0.002997","7.55K","-4.84%"
"08/09/2022","0.003150","0.003150","0.003150","0.003150","","0.00%"
"08/08/2022","0.003150","0.003150","0.003150","0.003150","","0.00%"
