"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 19, 2022","12.780","12.677","12.873","12.643","4.43M","-3.08%"
"Nov 18, 2022","13.186","13.723","13.723","12.996","4.88M","-3.96%"
"Nov 17, 2022","13.730","14.173","14.477","12.973","10.01M","-3.13%"
"Nov 16, 2022","14.173","14.311","14.601","13.653","6.17M","-0.99%"
"Nov 15, 2022","14.315","13.989","15.050","13.832","10.94M","2.33%"
"Nov 14, 2022","13.989","13.157","14.953","12.163","16.92M","6.33%"
"Nov 13, 2022","13.157","14.544","14.702","13.043","10.92M","-9.54%"
"Nov 12, 2022","14.544","16.451","16.451","14.474","9.72M","-11.59%"
"Nov 11, 2022","16.451","17.645","18.265","15.189","22.28M","-6.73%"
"Nov 10, 2022","17.638","14.016","18.805","13.193","41.67M","25.84%"
"Nov 09, 2022","14.016","24.335","24.344","12.445","50.78M","-42.35%"
"Nov 08, 2022","24.314","29.616","31.512","21.003","40.35M","-17.86%"
"Nov 07, 2022","29.599","32.627","33.105","28.445","13.55M","-9.28%"
"Nov 06, 2022","32.627","36.893","37.035","32.408","6.47M","-11.52%"
"Nov 05, 2022","36.874","33.740","38.729","33.683","10.20M","9.30%"
"Nov 04, 2022","33.737","30.860","34.183","30.667","6.11M","9.32%"
"Nov 03, 2022","30.860","30.810","32.223","30.624","3.30M","0.15%"
"Nov 02, 2022","30.813","32.210","32.930","30.240","5.04M","-4.32%"
"Nov 01, 2022","32.203","32.564","33.386","32.160","3.01M","-1.13%"
"Oct 31, 2022","32.571","32.940","34.363","32.223","4.82M","-1.10%"
"Oct 30, 2022","32.933","32.873","33.533","31.994","2.94M","0.18%"
"Oct 29, 2022","32.873","32.056","33.830","31.856","4.91M","2.56%"
"Oct 28, 2022","32.053","30.590","32.524","30.130","4.47M","4.76%"
"Oct 27, 2022","30.596","31.303","32.243","30.486","5.30M","-2.23%"
"Oct 26, 2022","31.294","30.883","32.064","30.684","5.51M","1.32%"
"Oct 25, 2022","30.887","28.302","32.280","28.053","6.62M","9.14%"
"Oct 24, 2022","28.300","29.295","29.472","28.178","3.35M","-3.39%"
"Oct 23, 2022","29.293","28.005","29.405","27.843","2.88M","4.59%"
"Oct 22, 2022","28.008","28.103","28.173","27.500","1.81M","-0.34%"
"Oct 21, 2022","28.103","28.031","28.283","26.864","4.55M","0.24%"
"Oct 20, 2022","28.037","28.857","29.463","27.997","3.59M","-2.84%"
"Oct 19, 2022","28.857","30.140","30.240","28.766","2.59M","-4.26%"
