"Date","Price","Open","High","Low","Vol.","Change %"
"11/19/2022","0.03293","0.03275","0.03317","0.03275","6.29M","3.73%"
"11/18/2022","0.03175","0.03195","0.03209","0.03151","906.29K","-0.06%"
"11/17/2022","0.03177","0.03175","0.03193","0.03123","1.51M","1.18%"
"11/16/2022","0.03140","0.03254","0.03308","0.03112","2.65M","-3.52%"
"11/15/2022","0.03254","0.03117","0.03299","0.03106","3.24M","4.42%"
"11/14/2022","0.03117","0.03138","0.03168","0.02931","6.44M","-0.67%"
"11/13/2022","0.03138","0.03188","0.03254","0.03054","5.98M","-1.58%"
"11/12/2022","0.03188","0.03405","0.03407","0.03151","4.60M","-6.34%"
"11/11/2022","0.03404","0.03424","0.03492","0.03195","8.89M","-0.58%"
"11/10/2022","0.03424","0.02912","0.03521","0.02875","16.23M","17.55%"
"11/09/2022","0.02912","0.03465","0.03499","0.02817","23.29M","-15.79%"
"11/08/2022","0.03458","0.03919","0.03943","0.03061","12.01M","-11.86%"
"11/07/2022","0.03924","0.03943","0.04001","0.03840","3.68M","-0.49%"
"11/06/2022","0.03943","0.04044","0.04096","0.03938","4.30M","-2.49%"
"11/05/2022","0.04044","0.04115","0.04204","0.04032","4.90M","-1.72%"
"11/04/2022","0.04115","0.03894","0.04201","0.03882","7.28M","5.66%"
"11/03/2022","0.03894","0.03776","0.03922","0.03771","3.56M","3.13%"
"11/02/2022","0.03776","0.03907","0.03907","0.03725","5.12M","-3.30%"
"11/01/2022","0.03905","0.03904","0.03984","0.03892","2.22M","-0.06%"
"10/31/2022","0.03907","0.03926","0.03950","0.03849","3.42M","-0.47%"
"10/30/2022","0.03926","0.03994","0.04056","0.03892","2.24M","-1.71%"
"10/29/2022","0.03994","0.04001","0.04089","0.03965","3.76M","-0.03%"
"10/28/2022","0.03995","0.03923","0.04008","0.03884","1.74M","1.82%"
"10/27/2022","0.03924","0.03926","0.04030","0.03891","2.69M","-0.07%"
"10/26/2022","0.03926","0.03848","0.03959","0.03830","2.67M","2.03%"
"10/25/2022","0.03848","0.03764","0.03921","0.03742","1.85M","2.28%"
"10/24/2022","0.03762","0.03809","0.03818","0.03700","1.69M","-1.23%"
"10/23/2022","0.03809","0.03741","0.03819","0.03721","1.56M","1.84%"
"10/22/2022","0.03741","0.03721","0.03779","0.03682","2.27M","0.53%"
"10/21/2022","0.03721","0.03683","0.03734","0.03581","3.04M","1.04%"
"10/20/2022","0.03683","0.03701","0.03791","0.03661","3.49M","-0.50%"
"10/19/2022","0.03701","0.03874","0.03888","0.03691","3.77M","-4.39%"
"10/18/2022","0.03871","0.03908","0.04002","0.03834","12.24M","-0.93%"
"10/17/2022","0.03908","0.03868","0.03923","0.03851","5.37M","1.04%"
"10/16/2022","0.03867","0.03826","0.03925","0.03822","5.45M","1.07%"
"10/15/2022","0.03826","0.03794","0.03856","0.03784","4.44M","0.85%"
"10/14/2022","0.03794","0.03833","0.03938","0.03767","4.89M","-1.01%"
"10/13/2022","0.03833","0.03945","0.03949","0.03587","12.18M","-2.90%"
"10/12/2022","0.03948","0.03947","0.03978","0.03917","4.63M","0.00%"
"10/11/2022","0.03947","0.04008","0.04008","0.03896","8.41M","-1.42%"
"10/10/2022","0.04004","0.04134","0.04197","0.04004","9.69M","-3.20%"
"10/09/2022","0.04137","0.04108","0.04155","0.04091","5.60M","0.47%"
"10/08/2022","0.04117","0.04072","0.04156","0.04070","11.25M","1.13%"
"10/07/2022","0.04071","0.04076","0.04109","0.03999","5.58M","-0.08%"
"10/06/2022","0.04074","0.04166","0.04208","0.04063","5.62M","-2.15%"
"10/05/2022","0.04164","0.04155","0.04223","0.04052","9.42M","0.22%"
"10/04/2022","0.04155","0.04087","0.04196","0.04031","11.90M","1.75%"
"10/03/2022","0.04084","0.03936","0.04206","0.03894","12.69M","3.74%"
"10/02/2022","0.03936","0.04040","0.04095","0.03935","6.71M","-2.57%"
"10/01/2022","0.04040","0.04075","0.04178","0.04025","4.41M","-0.86%"
"09/30/2022","0.04075","0.04158","0.04190","0.04031","9.51M","-2.01%"
"09/29/2022","0.04158","0.04030","0.04191","0.04003","12.58M","3.17%"
"09/28/2022","0.04030","0.04019","0.04181","0.03891","8.15M","0.23%"
"09/27/2022","0.04021","0.04018","0.04153","0.03934","7.12M","0.09%"
"09/26/2022","0.04018","0.03989","0.04028","0.03868","7.97M","0.71%"
"09/25/2022","0.03989","0.04057","0.04137","0.03945","3.97M","-1.70%"
"09/24/2022","0.04058","0.04158","0.04239","0.04052","6.23M","-2.40%"
"09/23/2022","0.04158","0.04130","0.04207","0.04004","11.71M","0.67%"
"09/22/2022","0.04130","0.03867","0.04168","0.03857","8.39M","6.48%"
"09/21/2022","0.03879","0.04003","0.04154","0.03842","8.37M","-3.09%"
"09/20/2022","0.04003","0.04079","0.04104","0.03941","10.65M","-1.86%"
"09/19/2022","0.04079","0.03973","0.04118","0.03871","14.61M","2.67%"
"09/18/2022","0.03973","0.04268","0.04310","0.03940","12.01M","-6.91%"
"09/17/2022","0.04268","0.04201","0.04298","0.04180","8.54M","1.59%"
"09/16/2022","0.04201","0.04104","0.04235","0.04066","13.41M","2.37%"
"09/15/2022","0.04104","0.04278","0.04278","0.04089","13.68M","-4.09%"
"09/14/2022","0.04279","0.04233","0.04350","0.04177","17.27M","1.09%"
"09/13/2022","0.04233","0.04672","0.04797","0.04213","26.27M","-9.39%"
"09/12/2022","0.04672","0.04666","0.04832","0.04598","21.49M","0.13%"
"09/11/2022","0.04666","0.04580","0.04806","0.04508","12.54M","1.87%"
"09/10/2022","0.04580","0.04624","0.04645","0.04497","13.19M","-0.96%"
"09/09/2022","0.04624","0.04423","0.04640","0.04410","15.62M","4.57%"
"09/08/2022","0.04422","0.04253","0.04446","0.04235","14.28M","4.00%"
"09/07/2022","0.04252","0.04103","0.04324","0.04081","14.18M","3.63%"
"09/06/2022","0.04103","0.04373","0.04469","0.04038","11.55M","-6.18%"
"09/05/2022","0.04373","0.04414","0.04504","0.04296","9.67M","-1.00%"
"09/04/2022","0.04417","0.04368","0.04430","0.04356","4.10M","1.23%"
"09/03/2022","0.04363","0.04400","0.04409","0.04306","6.28M","-0.84%"
"09/02/2022","0.04400","0.04394","0.04584","0.04331","15.53M","0.02%"
"09/01/2022","0.04399","0.04394","0.04509","0.04222","15.66M","0.06%"
"08/31/2022","0.04396","0.04342","0.04677","0.04342","22.19M","1.25%"
"08/30/2022","0.04342","0.04467","0.04794","0.04296","17.69M","-2.81%"
"08/29/2022","0.04467","0.04301","0.04473","0.04263","7.87M","3.86%"
"08/28/2022","0.04301","0.04472","0.04560","0.04300","6.56M","-3.65%"
"08/27/2022","0.04464","0.04389","0.04593","0.04342","10.67M","1.73%"
"08/26/2022","0.04389","0.04773","0.04910","0.04344","17.65M","-8.05%"
"08/25/2022","0.04773","0.04622","0.04952","0.04622","14.05M","3.25%"
"08/24/2022","0.04623","0.04662","0.04784","0.04561","11.47M","-0.88%"
