"Date","Price","Open","High","Low","Vol.","Change %"
"11/19/2022","5.572","5.550","5.597","5.544","377.13K","-0.85%"
"11/18/2022","5.620","5.709","5.760","5.609","6.84M","-1.40%"
"11/17/2022","5.699","5.680","5.720","5.566","212.09K","0.34%"
"11/16/2022","5.680","5.911","6.000","5.604","3.96M","-4.04%"
"11/15/2022","5.919","5.857","6.042","5.801","3.64M","1.01%"
"11/14/2022","5.860","5.730","5.880","5.450","6.27M","2.26%"
"11/13/2022","5.730","5.764","5.950","5.611","342.78K","-0.68%"
"11/12/2022","5.770","5.734","5.861","5.570","3.88M","0.25%"
"11/11/2022","5.755","5.952","5.976","5.500","11.78M","-3.55%"
"11/10/2022","5.967","5.406","6.163","5.350","15.34M","10.34%"
"11/09/2022","5.408","6.306","6.378","5.346","36.21M","-14.17%"
"11/08/2022","6.301","7.119","7.197","5.898","19.11M","-11.39%"
"11/07/2022","7.110","6.820","7.420","6.660","9.93M","4.31%"
"11/06/2022","6.816","7.023","7.140","6.788","446.83K","-3.03%"
"11/05/2022","7.030","7.050","7.241","6.950","7.90M","-0.30%"
"11/04/2022","7.050","6.411","7.100","6.392","10.33M","9.99%"
"11/03/2022","6.410","6.250","6.530","6.230","11.17M","2.56%"
"11/02/2022","6.250","6.460","6.524","6.170","366.65K","-3.25%"
"11/01/2022","6.460","6.628","6.709","6.459","3.88M","-2.53%"
"10/31/2022","6.628","6.647","6.829","6.574","411.88K","-0.47%"
"10/30/2022","6.659","6.640","6.741","6.520","4.53M","0.36%"
"10/29/2022","6.636","6.520","6.760","6.500","329.08K","1.93%"
"10/28/2022","6.510","6.328","6.580","6.268","5.07M","2.88%"
"10/27/2022","6.328","6.461","6.640","6.288","307.43K","-2.05%"
"10/26/2022","6.461","6.440","6.600","6.420","6.82M","0.32%"
"10/25/2022","6.440","5.920","6.611","5.890","826.52K","8.79%"
"10/24/2022","5.920","5.964","5.990","5.810","4.00M","-0.68%"
"10/23/2022","5.960","5.845","5.980","5.761","3.05M","2.00%"
"10/22/2022","5.844","5.835","5.873","5.776","9.13M","0.22%"
"10/21/2022","5.831","5.885","5.900","5.740","7.35M","-0.95%"
"10/20/2022","5.886","6.100","6.150","5.828","298.18K","-3.52%"
"10/19/2022","6.101","6.160","6.250","6.070","162.66K","-0.86%"
"10/18/2022","6.155","6.246","6.293","6.074","183.31K","-1.46%"
"10/17/2022","6.246","6.184","6.282","6.131","348.86K","1.00%"
"10/16/2022","6.184","6.048","6.240","6.048","111.98K","2.25%"
"10/15/2022","6.048","6.045","6.100","6.024","132.07K","0.11%"
"10/14/2022","6.041","6.115","6.267","6.010","50.58M","-1.14%"
"10/13/2022","6.110","6.180","6.180","5.679","8.02M","-0.96%"
"10/12/2022","6.170","6.178","6.250","6.134","89.26K","0.00%"
"10/11/2022","6.170","6.259","6.259","6.122","3.44M","-1.42%"
"10/10/2022","6.259","6.477","6.543","6.240","4.08M","-3.36%"
"10/09/2022","6.477","6.310","6.494","6.285","153.58K","2.65%"
"10/08/2022","6.310","6.332","6.392","6.270","1.58M","-0.32%"
"10/07/2022","6.330","6.339","6.391","6.260","3.16M","-0.15%"
"10/06/2022","6.339","6.436","6.520","6.324","296.78K","-1.49%"
"10/05/2022","6.435","6.492","6.505","6.276","494.86K","-0.84%"
"10/04/2022","6.490","6.360","6.531","6.345","4.46M","2.04%"
"10/03/2022","6.360","6.150","6.400","6.094","10.24M","3.42%"
"10/02/2022","6.150","6.271","6.330","6.133","201.44K","-1.91%"
"10/01/2022","6.270","6.322","6.332","6.220","3.59M","-0.79%"
"09/30/2022","6.320","6.437","6.568","6.221","8.36M","-1.86%"
"09/29/2022","6.440","6.388","6.483","6.266","5.78M","0.85%"
"09/28/2022","6.386","6.372","6.469","6.180","327.65K","0.30%"
"09/27/2022","6.367","6.554","6.799","6.250","22.17M","-2.94%"
"09/26/2022","6.560","6.200","6.571","6.170","8.85M","5.79%"
"09/25/2022","6.201","6.267","6.366","6.091","203.33K","-1.11%"
"09/24/2022","6.270","6.432","6.504","6.240","4.19M","-2.64%"
"09/23/2022","6.440","6.444","6.640","6.193","9.29M","-0.06%"
"09/22/2022","6.444","6.131","6.515","6.087","193.02K","5.11%"
"09/21/2022","6.130","6.285","6.560","5.970","10.34M","-2.53%"
"09/20/2022","6.290","6.380","6.420","6.180","5.84M","-1.50%"
"09/19/2022","6.386","6.440","6.560","6.120","497.03K","-0.85%"
"09/18/2022","6.440","7.060","7.060","6.343","8.21M","-8.81%"
"09/17/2022","7.063","6.902","7.155","6.902","265.83K","2.32%"
"09/16/2022","6.903","6.930","6.971","6.720","477.31K","-0.40%"
"09/15/2022","6.930","7.204","7.233","6.880","280.15K","-3.75%"
"09/14/2022","7.200","7.066","7.298","7.035","6.11M","1.98%"
"09/13/2022","7.060","7.666","7.943","7.040","9.92M","-7.83%"
"09/12/2022","7.660","7.690","8.049","7.570","9.29M","-0.39%"
"09/11/2022","7.690","7.780","7.892","7.560","4.73M","-1.16%"
"09/10/2022","7.780","7.760","7.874","7.602","225.01K","0.39%"
"09/09/2022","7.750","7.381","7.935","7.364","10.00M","5.01%"
"09/08/2022","7.381","7.190","7.450","7.060","6.55M","2.64%"
"09/07/2022","7.190","6.874","7.290","6.770","6.14M","4.66%"
"09/06/2022","6.870","7.370","7.690","6.820","8.60M","-6.75%"
"09/05/2022","7.367","7.367","7.633","7.268","253.02K","0.00%"
"09/04/2022","7.367","7.287","7.398","7.160","123.93K","1.11%"
"09/03/2022","7.287","7.298","7.310","7.179","94.98K","-0.05%"
"09/02/2022","7.290","7.180","7.564","7.128","6.16M","1.50%"
"09/01/2022","7.183","7.034","7.207","6.867","206.14K","2.12%"
"08/31/2022","7.034","7.000","7.289","6.981","295.63K","0.41%"
"08/30/2022","7.004","7.273","7.374","6.887","273.52K","-3.70%"
"08/29/2022","7.273","6.856","7.307","6.790","327.31K","6.09%"
"08/28/2022","6.856","7.040","7.150","6.818","141.31K","-2.74%"
"08/27/2022","7.049","6.929","7.100","6.805","4.71M","1.83%"
"08/26/2022","6.922","7.580","7.680","6.867","466.16K","-8.73%"
"08/25/2022","7.585","7.560","7.760","7.462","220.79K","0.27%"
"08/24/2022","7.564","7.638","7.772","7.424","193.32K","-0.97%"
"08/23/2022","7.638","7.405","7.707","7.192","318.96K","3.15%"
"08/22/2022","7.405","7.434","7.446","7.000","277.20K","-0.47%"
"08/21/2022","7.440","7.221","7.530","7.171","3.20M","3.03%"
"08/20/2022","7.221","7.329","7.520","7.040","4.99M","-1.25%"
"08/19/2022","7.313","8.080","8.092","7.250","9.09M","-9.50%"
"08/18/2022","8.080","8.368","8.570","8.056","4.87M","-3.46%"
"08/17/2022","8.370","8.851","9.170","8.321","7.39M","-5.33%"
"08/16/2022","8.841","8.789","8.951","8.643","5.48M","0.68%"
"08/15/2022","8.781","8.955","9.380","8.640","7.73M","-1.90%"
"08/14/2022","8.950","9.310","9.553","8.835","6.62M","-3.77%"
"08/13/2022","9.301","9.489","9.674","9.251","5.25M","-1.90%"
"08/12/2022","9.480","9.200","9.500","9.040","6.34M","3.04%"
"08/11/2022","9.200","9.515","9.644","9.130","9.39M","-3.30%"
"08/10/2022","9.514","8.901","9.641","8.556","61.48M","6.89%"
"08/09/2022","8.901","9.270","9.440","8.670","10.18M","-3.99%"
"08/08/2022","9.270","8.650","9.382","8.640","10.98M","7.08%"
"08/07/2022","8.658","8.521","8.920","8.350","259.04K","1.60%"
"08/06/2022","8.521","8.810","8.870","8.498","201.60K","-3.28%"
"08/05/2022","8.810","8.081","8.830","8.070","536.40K","9.03%"
"08/04/2022","8.081","8.000","8.270","7.897","5.63M","1.05%"
"08/03/2022","7.997","7.937","8.439","7.690","477.40K","0.75%"
"08/02/2022","7.937","8.191","8.270","7.690","570.67K","-3.10%"
"08/01/2022","8.191","8.635","8.960","8.051","564.01K","-5.09%"
"07/31/2022","8.630","8.203","9.200","8.080","13.24M","5.12%"
"07/30/2022","8.210","8.171","8.810","8.160","11.41M","0.48%"
"07/29/2022","8.171","7.862","8.411","7.770","12.42M","3.95%"
"07/28/2022","7.860","7.681","8.064","7.468","12.79M","2.25%"
"07/27/2022","7.687","6.785","7.701","6.650","699.77K","13.29%"
"07/26/2022","6.785","6.750","6.785","6.528","614.11K","0.24%"
