,Date,price_BNB_USD,price_BTC_USD,price_Dogecoin,price_Ethereum,price_Litecoin,price_NEO_USD,price_NXT_USD,price_PPC_USD,price_Stellar,price_Tether,price_TRX_USD,price_XEM_USD,price_XRP
0,2022-11-19,270.4,"16,645.0",0.084121,"1,208.92",63.61,6.743,0.003031,0.34,0.08995,0.9991,0.05193,0.03275,0.38039
1,2022-11-18,272.4,"16,827.0",0.085026,"1,206.99",62.19,6.699,0.00332,0.360002,0.09061,0.9991,0.05066,0.03195,0.38379
2,2022-11-17,272.7,"16,676.0",0.084884,"1,206.16",56.92,6.689,0.002588,0.409999,0.08898,0.9992,0.05011,0.03175,0.37386
3,2022-11-16,276.8,"16,886.0",0.08703,"1,253.45",58.05,6.797,0.002588,0.379999,0.09246,0.999,0.05073,0.03254,0.389
4,2022-11-15,279.0,"16,627.0",0.085879,"1,242.64",56.62,6.736,0.002588,0.300102,0.09113,0.9991,0.05018,0.03117,0.37684
5,2022-11-14,276.3,"16,345.0",0.084991,"1,221.47",57.36,6.669,0.0027,0.429999,0.08811,0.9989,0.05085,0.03138,0.34082
6,2022-11-13,282.7,"16,812.0",0.088086,"1,256.29",59.85,6.568,0.002674,0.429999,0.09099,1.0005,0.05504,0.03188,0.36344
7,2022-11-12,290.3,"17,045.0",0.085067,"1,288.71",61.45,6.819,0.002674,0.429999,0.09521,0.9998,0.05605,0.03405,0.3843
8,2022-11-11,303.5,"17,579.0",0.08972,"1,299.21",60.48,7.168,0.0029,0.440001,0.09705,0.9982,0.05784,0.03424,0.39463
9,2022-11-10,266.9,"15,907.0",0.074224,"1,100.86",50.62,6.188,0.002878,0.45,0.0834,0.9991,0.0533,0.02912,0.33213
10,2022-11-09,326.8,"18,557.0",0.088374,"1,335.26",57.82,7.423,0.003125,0.45,0.09882,1.0003,0.05865,0.03465,0.40603
11,2022-11-08,337.0,"20,610.0",0.11121,"1,567.54",67.39,8.638,0.003652,0.49,0.10959,1.0001,0.06224,0.03919,0.465
12,2022-11-07,337.7,"20,932.0",0.114765,"1,570.71",68.26,8.554,0.0034,0.46,0.10905,1.0003,0.06266,0.03943,0.47098
13,2022-11-06,348.6,"21,313.0",0.124473,"1,626.86",69.29,9.04,0.0037,0.410954,0.11353,1.0002,0.06361,0.04044,0.49301
14,2022-11-05,354.6,"21,168.0",0.126094,"1,645.03",67.57,8.975,0.0039,0.415986,0.11556,1.0002,0.06383,0.04115,0.50606
15,2022-11-04,329.6,"20,223.0",0.122372,"1,531.06",61.87,8.352,0.0041,0.42,0.10875,1.0,0.0617,0.03894,0.45488
16,2022-11-03,320.1,"20,168.0",0.127706,"1,518.99",60.86,8.209,0.0038,0.43,0.10758,1.0,0.06157,0.03776,0.44994
17,2022-11-02,323.8,"20,500.0",0.142183,"1,579.59",55.1,8.434,0.003128,0.469999,0.10991,1.0,0.06277,0.03907,0.46359
18,2022-11-01,325.6,"20,509.0",0.126834,"1,572.89",55.04,8.52,0.003187,0.469999,0.11129,1.0,0.06327,0.03904,0.46434
